"Date","Price","Open","High","Low","Change %"
"Jan 26, 2017","10.7263","10.7515","10.7773","10.6577","-0.28%"
"Jan 25, 2017","10.7560","10.7505","10.7737","10.6761","0.06%"
"Jan 24, 2017","10.7493","10.7608","10.7830","10.6726","-0.13%"
"Jan 23, 2017","10.7630","10.6899","10.8072","10.6768","0.46%"
"Jan 20, 2017","10.7137","10.7279","10.7709","10.6555","-0.06%"
"Jan 19, 2017","10.7196","10.7110","10.7425","10.6267","0.09%"
"Jan 18, 2017","10.7099","10.7411","10.7483","10.6357","-0.30%"
"Jan 17, 2017","10.7421","10.6278","10.7563","10.6215","0.67%"
"Jan 16, 2017","10.6703","10.7236","10.7437","10.6583","0.10%"
"Jan 13, 2017","10.6600","10.7091","10.7247","10.6313","-0.39%"
"Jan 12, 2017","10.7019","10.6906","10.7365","10.6349","0.11%"
"Jan 11, 2017","10.6898","10.6785","10.7111","10.5805","0.10%"
"Jan 10, 2017","10.6789","10.6825","10.7120","10.6160","-0.05%"
"Jan 09, 2017","10.6845","10.6602","10.6984","10.5923","0.26%"
"Jan 06, 2017","10.6568","10.7037","10.7340","10.6065","-0.40%"
"Jan 05, 2017","10.7001","10.6480","10.7064","10.5791","0.49%"
"Jan 04, 2017","10.6479","10.6136","10.6619","10.5531","0.31%"
"Jan 03, 2017","10.6146","10.6196","10.6580","10.5236","-0.25%"
"Jan 02, 2017","10.6410","10.6639","10.6801","10.5657","-0.08%"
"Dec 30, 2016","10.6496","10.6400","10.7245","10.5986","0.13%"
"Dec 29, 2016","10.6358","10.6182","10.6767","10.5762","0.16%"
"Dec 28, 2016","10.6187","10.6410","10.6526","10.5671","-0.19%"
"Dec 27, 2016","10.6387","10.6196","10.6438","10.5759","0.13%"
"Dec 26, 2016","10.6254","10.6395","10.6725","10.6091","-0.23%"
"Dec 23, 2016","10.6500","10.6348","10.6608","10.5809","0.19%"
"Dec 22, 2016","10.6296","10.5559","10.6603","10.5486","0.32%"
"Dec 21, 2016","10.5960","10.5803","10.6782","10.5750","0.14%"
"Dec 20, 2016","10.5813","10.6567","10.6725","10.5714","-0.31%"
"Dec 19, 2016","10.6142","10.5642","10.6538","10.5439","0.37%"
"Dec 16, 2016","10.5754","10.6264","10.6522","10.5307","-0.41%"
"Dec 15, 2016","10.6187","10.6735","10.6830","10.5145","-0.50%"
"Dec 14, 2016","10.6718","10.6875","10.7264","10.6169","-0.15%"
"Dec 13, 2016","10.6881","10.7096","10.7308","10.6539","-0.20%"
"Dec 12, 2016","10.7092","10.6509","10.7304","10.6381","0.24%"
"Dec 09, 2016","10.6836","10.7026","10.7127","10.5914","-0.17%"
"Dec 08, 2016","10.7020","10.7307","10.7990","10.6232","-0.35%"
"Dec 07, 2016","10.7392","10.7490","10.7721","10.6797","-0.02%"
"Dec 06, 2016","10.7410","10.6966","10.7708","10.6640","0.08%"
"Dec 05, 2016","10.7327","10.7058","10.8081","10.5551","0.28%"
"Dec 02, 2016","10.7024","10.7553","10.7802","10.6643","-0.14%"
"Dec 01, 2016","10.7169","10.6326","10.7348","10.6126","0.52%"
"Nov 30, 2016","10.6617","10.7385","10.7535","10.6323","-0.46%"
"Nov 29, 2016","10.7113","10.6974","10.7143","10.6032","0.12%"
"Nov 28, 2016","10.6989","10.6851","10.7651","10.6102","0.19%"
"Nov 25, 2016","10.6791","10.6764","10.7088","10.6125","0.07%"
"Nov 24, 2016","10.6717","10.6748","10.6912","10.6140","-0.02%"
"Nov 23, 2016","10.6737","10.7062","10.7183","10.5937","-0.31%"
"Nov 22, 2016","10.7073","10.7020","10.7239","10.6163","-0.00%"
"Nov 21, 2016","10.7076","10.6739","10.7255","10.6191","0.24%"
"Nov 18, 2016","10.6822","10.5777","10.7208","10.5359","0.71%"
"Nov 17, 2016","10.6072","10.7364","10.7873","10.5982","-0.95%"
"Nov 16, 2016","10.7092","10.6835","10.7608","10.6367","-0.07%"
"Nov 15, 2016","10.7162","10.7203","10.8151","10.7048","-0.05%"
"Nov 14, 2016","10.7219","10.7698","10.8057","10.7055","-0.69%"
"Nov 11, 2016","10.7960","10.8090","10.8241","10.7169","-0.08%"
"Nov 10, 2016","10.8051","10.8114","10.8345","10.7294","-0.06%"
"Nov 09, 2016","10.8118","10.8560","10.9644","10.7550","-0.41%"
"Nov 08, 2016","10.8567","10.8065","10.8734","10.7834","0.15%"
"Nov 07, 2016","10.8405","10.8574","10.9048","10.7848","-0.53%"
"Nov 04, 2016","10.8981","10.8791","10.9090","10.8068","0.24%"
"Nov 03, 2016","10.8723","10.8260","10.8941","10.7973","0.11%"
"Nov 02, 2016","10.8605","10.8589","10.9089","10.8022","-0.04%"
"Nov 01, 2016","10.8652","10.8047","10.8732","10.7750","0.44%"
"Oct 31, 2016","10.8174","10.8407","10.8613","10.7695","-0.21%"
"Oct 28, 2016","10.8407","10.7511","10.8523","10.7309","0.51%"
"Oct 27, 2016","10.7856","10.8010","10.8634","10.7300","-0.21%"
"Oct 26, 2016","10.8086","10.7950","10.8278","10.7425","0.07%"
"Oct 25, 2016","10.8008","10.7647","10.8089","10.7158","0.20%"
"Oct 24, 2016","10.7789","10.7331","10.8132","10.7114","-0.16%"
"Oct 21, 2016","10.7966","10.7522","10.8141","10.7125","-0.02%"
"Oct 20, 2016","10.7983","10.8260","10.8958","10.7351","-0.31%"
"Oct 19, 2016","10.8317","10.7726","10.8418","10.7511","0.13%"
"Oct 18, 2016","10.8175","10.7802","10.8943","10.7565","-0.07%"
"Oct 17, 2016","10.8252","10.7674","10.8867","10.7487","0.10%"
"Oct 14, 2016","10.8147","10.8135","10.9066","10.7600","-0.29%"
"Oct 13, 2016","10.8461","10.7915","10.8960","10.7714","0.16%"
"Oct 12, 2016","10.8284","10.7990","10.8926","10.7719","-0.16%"
"Oct 11, 2016","10.8456","10.8425","10.9379","10.7791","-0.30%"
"Oct 10, 2016","10.8779","10.8874","10.9436","10.8165","-0.23%"
"Oct 07, 2016","10.9031","10.8479","10.9451","10.7979","0.19%"
"Oct 06, 2016","10.8827","10.8579","10.9286","10.8159","-0.20%"
"Oct 05, 2016","10.9041","10.8681","10.9788","10.8456","0.00%"
"Oct 04, 2016","10.9040","10.8895","10.9693","10.8269","0.06%"
"Oct 03, 2016","10.8971","10.8787","10.9209","10.8619","-0.15%"
"Sep 30, 2016","10.9139","10.8741","10.9707","10.8324","-0.05%"
"Sep 29, 2016","10.9189","10.8675","10.9742","10.8481","0.11%"
"Sep 28, 2016","10.9066","10.8609","10.9560","10.8368","0.00%"
"Sep 27, 2016","10.9066","10.8771","10.9746","10.8381","-0.14%"
"Sep 26, 2016","10.9214","10.8708","10.9773","10.8605","0.14%"
"Sep 23, 2016","10.9061","10.8691","10.9320","10.8319","0.03%"
"Sep 22, 2016","10.9031","10.8842","10.9629","10.8435","0.15%"
"Sep 21, 2016","10.8869","10.8386","10.9202","10.8212","0.03%"
"Sep 20, 2016","10.8841","10.8769","10.9544","10.8285","-0.02%"
"Sep 19, 2016","10.8867","10.8528","10.9145","10.8340","0.01%"
"Sep 16, 2016","10.8852","10.8712","10.9719","10.8100","-0.30%"
"Sep 15, 2016","10.9175","10.8832","10.9764","10.8542","-0.02%"
"Sep 14, 2016","10.9196","10.8225","10.9810","10.7866","0.78%"
"Sep 13, 2016","10.8352","10.8374","10.8736","10.7981","-0.27%"
"Sep 12, 2016","10.8650","10.8536","10.9211","10.8039","-0.43%"
"Sep 09, 2016","10.9122","10.8775","10.9760","10.8323","-0.11%"
"Sep 08, 2016","10.9243","10.8696","11.0021","10.8616","0.05%"
"Sep 07, 2016","10.9183","10.8869","10.9801","10.8608","-0.16%"
"Sep 06, 2016","10.9355","10.8458","10.9796","10.8277","0.51%"
"Sep 05, 2016","10.8803","10.8636","10.9338","10.8267","-0.04%"
"Sep 02, 2016","10.8848","10.8664","10.9621","10.8301","-0.14%"
"Sep 01, 2016","10.9004","10.8392","10.9565","10.8232","0.14%"
"Aug 31, 2016","10.8857","10.8857","10.9415","10.8219","-0.04%"
"Aug 30, 2016","10.8906","10.8524","10.9151","10.8260","-0.07%"
"Aug 29, 2016","10.8980","10.8610","10.9223","10.8234","-0.03%"
"Aug 26, 2016","10.9011","10.8774","10.9881","10.8331","-0.27%"
"Aug 25, 2016","10.9307","10.9063","10.9870","10.8694","0.08%"
"Aug 24, 2016","10.9221","10.9057","10.9914","10.8657","-0.16%"
"Aug 23, 2016","10.9401","10.9519","11.0086","10.8866","-0.17%"
"Aug 22, 2016","10.9592","10.8965","10.9814","10.8647","0.09%"
"Aug 19, 2016","10.9491","10.9251","11.0152","10.8888","-0.09%"
"Aug 18, 2016","10.9589","10.8824","11.0128","10.8789","0.22%"
"Aug 17, 2016","10.9343","10.9378","10.9928","10.8532","-0.10%"
"Aug 16, 2016","10.9452","10.9034","10.9675","10.8373","0.31%"
"Aug 15, 2016","10.9117","10.8610","10.9184","10.8169","0.25%"
"Aug 12, 2016","10.8842","10.8441","10.9546","10.8188","0.06%"
"Aug 11, 2016","10.8776","10.8994","10.9681","10.8214","-0.27%"
"Aug 10, 2016","10.9072","10.8780","10.9324","10.8273","0.17%"
"Aug 09, 2016","10.8891","10.8711","10.9022","10.8003","0.07%"
"Aug 08, 2016","10.8810","10.8704","10.8842","10.8006","0.05%"
"Aug 05, 2016","10.8753","10.8403","10.9059","10.7925","0.01%"
"Aug 04, 2016","10.8739","10.8800","10.9346","10.8217","-0.15%"
"Aug 03, 2016","10.8904","10.9127","10.9479","10.8285","-0.30%"
"Aug 02, 2016","10.9236","10.8883","10.9459","10.8355","0.25%"
"Aug 01, 2016","10.8963","10.8909","10.9150","10.8387","-0.12%"
"Jul 29, 2016","10.9093","10.8480","10.9295","10.8079","0.48%"
"Jul 28, 2016","10.8567","10.8119","10.9023","10.7923","0.02%"
"Jul 27, 2016","10.8540","10.8318","10.8755","10.7633","0.11%"
"Jul 26, 2016","10.8416","10.7896","10.8670","10.7656","0.19%"
"Jul 25, 2016","10.8212","10.8007","10.8773","10.7591","0.06%"
"Jul 22, 2016","10.8144","10.8273","10.8919","10.7552","-0.21%"
"Jul 21, 2016","10.8376","10.8438","10.8733","10.7723","-0.14%"
"Jul 20, 2016","10.8524","10.8297","10.8628","10.7690","0.12%"
"Jul 19, 2016","10.8389","10.8075","10.8782","10.7778","-0.13%"
"Jul 18, 2016","10.8526","10.8424","10.9219","10.7890","0.08%"
"Jul 15, 2016","10.8440","10.8684","10.9065","10.7941","-0.29%"
"Jul 14, 2016","10.8757","10.8803","10.9200","10.8113","-0.11%"
"Jul 13, 2016","10.8877","10.8035","10.9170","10.7830","0.37%"
"Jul 12, 2016","10.8478","10.8453","10.9355","10.7869","-0.05%"
"Jul 11, 2016","10.8528","10.8505","10.8788","10.7842","-0.17%"
"Jul 08, 2016","10.8713","10.8646","10.8958","10.7763","-0.01%"
"Jul 07, 2016","10.8720","10.8787","10.8981","10.8022","-0.12%"
"Jul 06, 2016","10.8856","10.8510","10.8907","10.7984","0.25%"
"Jul 05, 2016","10.8585","10.8785","10.9131","10.7890","-0.28%"
"Jul 04, 2016","10.8894","10.8997","10.9154","10.8203","0.11%"
"Jul 01, 2016","10.8773","10.8562","10.9262","10.8033","0.12%"
"Jun 30, 2016","10.8642","10.8924","10.9148","10.7584","-0.08%"
"Jun 29, 2016","10.8729","10.8663","10.9331","10.7783","-0.01%"
"Jun 28, 2016","10.8742","10.7993","10.8924","10.7759","0.37%"
"Jun 27, 2016","10.8343","10.8624","10.9041","10.7612","-0.33%"
"Jun 24, 2016","10.8700","10.9273","11.0406","10.7381","-0.91%"
"Jun 23, 2016","10.9703","10.8908","11.0607","10.8843","0.30%"
"Jun 22, 2016","10.9378","10.8752","11.0140","10.8658","0.19%"
"Jun 21, 2016","10.9166","10.8961","11.0146","10.8641","-0.25%"
"Jun 20, 2016","10.9435","10.8990","11.0851","10.8774","0.12%"
"Jun 17, 2016","10.9301","10.8999","10.9854","10.8565","0.20%"
"Jun 16, 2016","10.9084","10.9102","10.9629","10.8267","-0.10%"
"Jun 15, 2016","10.9192","10.8568","10.9616","10.8530","0.13%"
"Jun 14, 2016","10.9054","10.8866","10.9956","10.8426","-0.28%"
"Jun 13, 2016","10.9364","10.8838","11.0036","10.8357","0.14%"
"Jun 10, 2016","10.9207","10.9109","11.0094","10.8464","-0.23%"
"Jun 09, 2016","10.9458","10.9309","11.0294","10.8739","-0.24%"
