Date, Open, High, Low, Close
07/26/06, 172.36, 172.36, 172.36, 172.36
07/25/06, 172.25, 172.25, 172.25, 172.25
07/24/06, 172.58, 172.58, 172.58, 172.58
07/21/06, 170.89, 170.89, 170.89, 170.89
07/20/06, 171.79, 171.79, 171.79, 171.79
07/19/06, 173.28, 173.28, 173.28, 173.28
07/18/06, 172.44, 172.44, 172.44, 172.44
07/17/06, 175.38, 175.38, 175.38, 175.38
07/14/06, 179.96, 179.96, 179.96, 179.96
07/13/06, 178.89, 178.89, 178.89, 178.89
07/12/06, 178.20, 178.20, 178.20, 178.20
07/11/06, 177.22, 177.22, 177.22, 177.22
07/10/06, 174.94, 174.94, 174.94, 174.94
07/07/06, 174.97, 174.97, 174.97, 174.97
07/06/06, 177.15, 177.15, 177.15, 177.15
07/05/06, 174.54, 174.54, 174.54, 174.54
07/03/06, 174.03, 174.03, 174.03, 174.03
06/30/06, 173.24, 173.24, 173.24, 173.24
06/29/06, 170.59, 170.59, 170.59, 170.59
06/28/06, 168.14, 168.14, 168.14, 168.14
06/27/06, 167.76, 167.76, 167.76, 167.76
06/26/06, 168.09, 168.09, 168.09, 168.09
06/23/06, 166.77, 166.77, 166.77, 166.77
06/22/06, 167.49, 167.49, 167.49, 167.49
06/21/06, 168.28, 168.28, 168.28, 168.28
06/20/06, 166.75, 166.75, 166.75, 166.75
06/19/06, 167.31, 167.31, 167.31, 167.31
06/16/06, 170.52, 170.52, 170.52, 170.52
06/15/06, 169.35, 169.35, 169.35, 169.35
06/14/06, 165.91, 165.91, 165.91, 165.91
06/13/06, 165.35, 165.35, 165.35, 165.35
06/12/06, 170.41, 170.41, 170.41, 170.41
06/09/06, 171.22, 171.22, 171.22, 171.22
06/08/06, 171.60, 171.60, 171.60, 171.60
06/07/06, 174.91, 174.91, 174.91, 174.91
06/06/06, 175.27, 175.27, 175.27, 175.27
06/05/06, 178.09, 178.09, 178.09, 178.09
06/02/06, 178.91, 178.91, 178.91, 178.91
06/01/06, 174.96, 174.96, 174.96, 174.96
05/31/06, 176.68, 176.68, 176.68, 176.68
05/30/06, 178.65, 178.65, 178.65, 178.65
05/26/06, 179.30, 179.30, 179.30, 179.30
05/25/06, 177.21, 177.21, 177.21, 177.21
05/24/06, 175.54, 175.54, 175.54, 175.54
05/23/06, 181.00, 181.00, 181.00, 181.00
05/22/06, 176.10, 176.10, 176.10, 176.10
05/19/06, 174.57, 174.57, 174.57, 174.57
05/18/06, 178.63, 178.63, 178.63, 178.63
05/17/06, 179.56, 179.56, 179.56, 179.56
05/16/06, 180.96, 180.96, 180.96, 180.96
05/15/06, 179.81, 179.81, 179.81, 179.81
05/12/06, 185.29, 185.29, 185.29, 185.29
05/11/06, 187.63, 187.63, 187.63, 187.63
05/10/06, 184.00, 184.00, 184.00, 184.00
05/09/06, 180.90, 180.90, 180.90, 180.90
05/08/06, 178.14, 178.14, 178.14, 178.14
05/05/06, 178.91, 178.91, 178.91, 178.91
05/04/06, 177.63, 177.63, 177.63, 177.63
05/03/06, 177.01, 177.01, 177.01, 177.01
05/02/06, 178.80, 178.80, 178.80, 178.80
05/01/06, 178.18, 178.18, 178.18, 178.18
04/28/06, 175.77, 175.77, 175.77, 175.77
04/27/06, 173.65, 173.65, 173.65, 173.65
04/26/06, 177.73, 177.73, 177.73, 177.73
04/25/06, 177.87, 177.87, 177.87, 177.87
04/24/06, 176.85, 176.85, 176.85, 176.85
04/21/06, 180.01, 180.01, 180.01, 180.01
04/20/06, 176.81, 176.81, 176.81, 176.81
04/19/06, 178.93, 178.93, 178.93, 178.93
04/18/06, 177.57, 177.57, 177.57, 177.57
04/17/06, 173.95, 173.95, 173.95, 173.95
04/13/06, 171.24, 171.24, 171.24, 171.24
04/12/06, 170.29, 170.29, 170.29, 170.29
04/11/06, 170.02, 170.02, 170.02, 170.02
04/10/06, 169.26, 169.26, 169.26, 169.26
04/07/06, 167.20, 167.20, 167.20, 167.20
04/06/06, 168.55, 168.55, 168.55, 168.55
04/05/06, 166.75, 166.75, 166.75, 166.75
04/04/06, 164.72, 164.72, 164.72, 164.72
04/03/06, 166.58, 166.58, 166.58, 166.58
03/31/06, 165.19, 165.19, 165.19, 165.19
03/30/06, 167.35, 167.35, 167.35, 167.35
03/29/06, 165.13, 165.13, 165.13, 165.13
03/28/06, 164.58, 164.58, 164.58, 164.58
03/27/06, 163.24, 163.24, 163.24, 163.24
03/24/06, 162.97, 162.97, 162.97, 162.97
03/23/06, 162.65, 162.65, 162.65, 162.65
03/22/06, 159.88, 159.88, 159.88, 159.88
03/21/06, 160.77, 160.77, 160.77, 160.77
03/20/06, 159.93, 159.93, 159.93, 159.93
03/17/06, 162.19, 162.19, 162.19, 162.19
03/16/06, 162.38, 162.38, 162.38, 162.38
03/15/06, 161.98, 161.98, 161.98, 161.98
03/14/06, 162.63, 162.63, 162.63, 162.63
03/13/06, 161.16, 161.16, 161.16, 161.16
03/10/06, 159.85, 159.85, 159.85, 159.85
03/09/06, 159.63, 159.63, 159.63, 159.63
03/08/06, 158.78, 158.78, 158.78, 158.78
03/07/06, 160.48, 160.48, 160.48, 160.48
03/06/06, 162.43, 162.43, 162.43, 162.43
03/03/06, 165.50, 165.50, 165.50, 165.50
03/02/06, 164.68, 164.68, 164.68, 164.68
03/01/06, 162.34, 162.34, 162.34, 162.34
02/28/06, 162.23, 162.23, 162.23, 162.23
02/27/06, 160.65, 160.65, 160.65, 160.65
02/24/06, 163.90, 163.90, 163.90, 163.90
02/23/06, 162.25, 162.25, 162.25, 162.25
02/22/06, 163.03, 163.03, 163.03, 163.03
02/21/06, 165.48, 165.48, 165.48, 165.48
02/17/06, 162.52, 162.52, 162.52, 162.52
02/16/06, 160.76, 160.76, 160.76, 160.76
02/15/06, 159.73, 159.73, 159.73, 159.73
02/14/06, 161.84, 161.84, 161.84, 161.84
02/13/06, 162.38, 162.38, 162.38, 162.38
02/10/06, 164.29, 164.29, 164.29, 164.29
02/09/06, 167.73, 167.73, 167.73, 167.73
02/08/06, 166.84, 166.84, 166.84, 166.84
02/07/06, 167.04, 167.04, 167.04, 167.04
02/06/06, 170.61, 170.61, 170.61, 170.61
02/03/06, 172.56, 172.56, 172.56, 172.56
02/02/06, 170.83, 170.83, 170.83, 170.83
02/01/06, 171.41, 171.41, 171.41, 171.41
01/31/06, 173.67, 173.67, 173.67, 173.67
01/30/06, 174.22, 174.22, 174.22, 174.22
01/27/06, 171.59, 171.59, 171.59, 171.59
01/26/06, 169.93, 169.93, 169.93, 169.93
01/25/06, 170.12, 170.12, 170.12, 170.12
01/24/06, 170.14, 170.14, 170.14, 170.14
01/23/06, 169.90, 169.90, 169.90, 169.90
01/20/06, 170.43, 170.43, 170.43, 170.43
01/19/06, 168.87, 168.87, 168.87, 168.87
01/18/06, 167.34, 167.34, 167.34, 167.34
01/17/06, 169.59, 169.59, 169.59, 169.59
01/13/06, 167.87, 167.87, 167.87, 167.87
01/12/06, 167.01, 167.01, 167.01, 167.01
01/11/06, 167.97, 167.97, 167.97, 167.97
01/10/06, 168.58, 168.58, 168.58, 168.58
01/09/06, 169.14, 169.14, 169.14, 169.14
01/06/06, 170.35, 170.35, 170.35, 170.35
01/05/06, 169.03, 169.03, 169.03, 169.03
01/04/06, 171.83, 171.83, 171.83, 171.83
01/03/06, 171.83, 171.83, 171.83, 171.83
12/30/05, 171.15, 171.15, 171.15, 171.15
12/29/05, 169.86, 169.86, 169.86, 169.86
12/28/05, 171.02, 171.02, 171.02, 171.02
12/27/05, 168.38, 168.38, 168.38, 168.38
12/23/05, 171.31, 171.31, 171.31, 171.31
12/22/05, 172.56, 172.56, 172.56, 172.56
12/21/05, 174.92, 174.92, 174.92, 174.92
12/20/05, 174.17, 174.17, 174.17, 174.17
12/19/05, 174.28, 174.28, 174.28, 174.28
12/16/05, 173.43, 173.43, 173.43, 173.43
12/15/05, 174.13, 174.13, 174.13, 174.13
12/14/05, 177.05, 177.05, 177.05, 177.05
12/13/05, 180.24, 180.24, 180.24, 180.24
12/12/05, 178.11, 178.11, 178.11, 178.11
12/09/05, 175.29, 175.29, 175.29, 175.29
12/08/05, 177.65, 177.65, 177.65, 177.65
12/07/05, 172.78, 172.78, 172.78, 172.78
12/06/05, 172.27, 172.27, 172.27, 172.27
12/05/05, 173.41, 173.41, 173.41, 173.41
12/02/05, 172.70, 172.70, 172.70, 172.70
12/01/05, 169.94, 169.94, 169.94, 169.94
11/30/05, 166.40, 166.40, 166.40, 166.40
11/29/05, 163.36, 163.36, 163.36, 163.36
11/28/05, 163.71, 163.71, 163.71, 163.71
11/25/05, 164.60, 164.60, 164.60, 164.60
11/23/05, 164.60, 164.60, 164.60, 164.60
11/22/05, 165.07, 165.07, 165.07, 165.07
11/21/05, 164.27, 164.27, 164.27, 164.27
11/18/05, 164.42, 164.42, 164.42, 164.42
11/17/05, 166.06, 166.06, 166.06, 166.06
11/16/05, 167.52, 167.52, 167.52, 167.52
11/15/05, 165.13, 165.13, 165.13, 165.13
11/14/05, 166.01, 166.01, 166.01, 166.01
11/11/05, 166.13, 166.13, 166.13, 166.13
11/10/05, 164.70, 164.70, 164.70, 164.70
11/09/05, 166.31, 166.31, 166.31, 166.31
11/08/05, 167.24, 167.24, 167.24, 167.24
11/07/05, 167.08, 167.08, 167.08, 167.08
11/04/05, 166.27, 166.27, 166.27, 166.27
11/03/05, 167.61, 167.61, 167.61, 167.61
11/02/05, 165.41, 165.41, 165.41, 165.41
11/01/05, 165.69, 165.69, 165.69, 165.69
10/31/05, 166.52, 166.52, 166.52, 166.52
10/28/05, 169.95, 169.95, 169.95, 169.95
10/27/05, 171.65, 171.65, 171.65, 171.65
10/26/05, 172.67, 172.67, 172.67, 172.67
10/25/05, 175.49, 175.49, 175.49, 175.49
10/24/05, 169.68, 169.68, 169.68, 169.68
10/21/05, 170.36, 170.36, 170.36, 170.36
10/20/05, 170.89, 170.89, 170.89, 170.89
10/19/05, 173.54, 173.54, 173.54, 173.54
10/18/05, 174.79, 174.79, 174.79, 174.79
10/17/05, 177.31, 177.31, 177.31, 177.31
10/14/05, 174.09, 174.09, 174.09, 174.09
10/13/05, 174.81, 174.81, 174.81, 174.81
10/12/05, 177.01, 177.01, 177.01, 177.01
10/11/05, 176.28, 176.28, 176.28, 176.28
10/10/05, 173.18, 173.18, 173.18, 173.18
10/07/05, 173.76, 173.76, 173.76, 173.76
10/06/05, 173.70, 173.70, 173.70, 173.70
10/05/05, 177.06, 177.06, 177.06, 177.06
10/04/05, 177.75, 177.75, 177.75, 177.75
10/03/05, 178.82, 178.82, 178.82, 178.82
09/30/05, 178.25, 178.25, 178.25, 178.25
09/29/05, 179.07, 179.07, 179.07, 179.07
09/28/05, 178.41, 178.41, 178.41, 178.41
09/27/05, 173.92, 173.92, 173.92, 173.92
09/26/05, 174.49, 174.49, 174.49, 174.49
09/23/05, 171.79, 171.79, 171.79, 171.79
09/22/05, 174.67, 174.67, 174.67, 174.67
09/21/05, 173.80, 173.80, 173.80, 173.80
09/20/05, 172.67, 172.67, 172.67, 172.67
09/19/05, 174.10, 174.10, 174.10, 174.10
09/16/05, 165.90, 165.90, 165.90, 165.90
09/15/05, 167.69, 167.69, 167.69, 167.69
09/14/05, 168.28, 168.28, 168.28, 168.28
09/13/05, 166.25, 166.25, 166.25, 166.25
09/12/05, 167.41, 167.41, 167.41, 167.41
09/09/05, 168.80, 168.80, 168.80, 168.80
09/08/05, 169.18, 169.18, 169.18, 169.18
09/07/05, 168.66, 168.66, 168.66, 168.66
09/06/05, 171.53, 171.53, 171.53, 171.53
09/02/05, 171.98, 171.98, 171.98, 171.98
09/01/05, 174.05, 174.05, 174.05, 174.05
08/31/05, 170.82, 170.82, 170.82, 170.82
08/30/05, 172.16, 172.16, 172.16, 172.16
08/29/05, 168.61, 168.61, 168.61, 168.61
08/26/05, 164.39, 164.39, 164.39, 164.39
08/25/05, 164.82, 164.82, 164.82, 164.82
08/24/05, 165.76, 165.76, 165.76, 165.76
08/23/05, 164.59, 164.59, 164.59, 164.59
08/22/05, 164.47, 164.47, 164.47, 164.47
08/19/05, 162.58, 162.58, 162.58, 162.58
08/18/05, 160.82, 160.82, 160.82, 160.82
08/17/05, 162.31, 162.31, 162.31, 162.31
08/16/05, 165.24, 165.24, 165.24, 165.24
08/15/05, 164.53, 164.53, 164.53, 164.53
08/12/05, 166.11, 166.11, 166.11, 166.11
08/11/05, 165.80, 165.80, 165.80, 165.80
08/10/05, 164.04, 164.04, 164.04, 164.04
08/09/05, 161.02, 161.02, 161.02, 161.02
08/08/05, 162.77, 162.77, 162.77, 162.77
08/05/05, 162.24, 162.24, 162.24, 162.24
08/04/05, 161.83, 161.83, 161.83, 161.83
08/03/05, 161.58, 161.58, 161.58, 161.58
08/02/05, 162.88, 162.88, 162.88, 162.88
08/01/05, 161.08, 161.08, 161.08, 161.08
07/29/05, 159.33, 159.33, 159.33, 159.33
07/28/05, 158.78, 158.78, 158.78, 158.78
07/27/05, 156.85, 156.85, 156.85, 156.85
07/26/05, 156.10, 156.10, 156.10, 156.10
07/25/05, 155.66, 155.66, 155.66, 155.66
07/22/05, 155.68, 155.68, 155.68, 155.68
07/21/05, 154.11, 154.11, 154.11, 154.11
07/20/05, 156.15, 156.15, 156.15, 156.15
07/19/05, 156.54, 156.54, 156.54, 156.54
07/18/05, 158.10, 158.10, 158.10, 158.10
07/15/05, 159.56, 159.56, 159.56, 159.56
